Ceremony	Year	Class	Category	Movie	Name	Nominees	Winner	Detail	Note
83	2010	Acting	ACTOR IN A LEADING ROLE	Biutiful	Javier Bardem	Javier Bardem		Uxbal	
83	2010	Acting	ACTOR IN A LEADING ROLE	True Grit	Jeff Bridges	Jeff Bridges		Rooster Cogburn	
83	2010	Acting	ACTOR IN A LEADING ROLE	The Social Network	Jesse Eisenberg	Jesse Eisenberg		Mark Zuckerberg	
83	2010	Acting	ACTOR IN A LEADING ROLE	The King's Speech	Colin Firth	Colin Firth	True	King George VI	
83	2010	Acting	ACTOR IN A LEADING ROLE	127 Hours	James Franco	James Franco		Aron Ralston	
83	2010	Acting	ACTOR IN A SUPPORTING ROLE	The Fighter	Christian Bale	Christian Bale	True	Dicky Eklund	
83	2010	Acting	ACTOR IN A SUPPORTING ROLE	Winter's Bone	John Hawkes	John Hawkes		Teardrop	
83	2010	Acting	ACTOR IN A SUPPORTING ROLE	The Town	Jeremy Renner	Jeremy Renner		James Coughlin	
83	2010	Acting	ACTOR IN A SUPPORTING ROLE	The Kids Are All Right	Mark Ruffalo	Mark Ruffalo		Paul	
83	2010	Acting	ACTOR IN A SUPPORTING ROLE	The King's Speech	Geoffrey Rush	Geoffrey Rush		Lionel Logue	
83	2010	Acting	ACTRESS IN A LEADING ROLE	The Kids Are All Right	Annette Bening	Annette Bening		Nic	
83	2010	Acting	ACTRESS IN A LEADING ROLE	Rabbit Hole	Nicole Kidman	Nicole Kidman		Becca	
83	2010	Acting	ACTRESS IN A LEADING ROLE	Winter's Bone	Jennifer Lawrence	Jennifer Lawrence		Ree	
83	2010	Acting	ACTRESS IN A LEADING ROLE	Black Swan	Natalie Portman	Natalie Portman	True	Nina Sayers/The Swan Queen	
83	2010	Acting	ACTRESS IN A LEADING ROLE	Blue Valentine	Michelle Williams	Michelle Williams		Cindy	
83	2010	Acting	ACTRESS IN A SUPPORTING ROLE	The Fighter	Amy Adams	Amy Adams		Charlene Fleming	
83	2010	Acting	ACTRESS IN A SUPPORTING ROLE	The King's Speech	Helena Bonham Carter	Helena Bonham Carter		Queen Elizabeth	
83	2010	Acting	ACTRESS IN A SUPPORTING ROLE	The Fighter	Melissa Leo	Melissa Leo	True	Alice Ward	
83	2010	Acting	ACTRESS IN A SUPPORTING ROLE	True Grit	Hailee Steinfeld	Hailee Steinfeld		Mattie Ross	
83	2010	Acting	ACTRESS IN A SUPPORTING ROLE	Animal Kingdom	Jacki Weaver	Jacki Weaver		Janine 'Smurf' Cody	
83	2010	Title	ANIMATED FEATURE FILM	How to Train Your Dragon	Chris Sanders and Dean DeBlois	Chris Sanders|Dean DeBlois			
83	2010	Title	ANIMATED FEATURE FILM	The Illusionist	Sylvain Chomet	Sylvain Chomet			
83	2010	Title	ANIMATED FEATURE FILM	Toy Story 3	Lee Unkrich	Lee Unkrich	True		
83	2010	Production	ART DIRECTION	Alice in Wonderland	Production Design: Robert Stromberg; Set Decoration: Karen O'Hara	Robert Stromberg|Karen O'Hara	True		
83	2010	Production	ART DIRECTION		Production Design: Stuart Craig; Set Decoration: Stephenie McMillan	Stuart Craig|Stephenie McMillan			
83	2010	Production	ART DIRECTION	Inception	Production Design: Guy Hendrix Dyas; Set Decoration: Larry Dias and Doug Mowat	Guy Hendrix Dyas|Larry Dias|Doug Mowat			
83	2010	Production	ART DIRECTION	The King's Speech	Production Design: Eve Stewart; Set Decoration: Judy Farr	Eve Stewart|Judy Farr			
83	2010	Production	ART DIRECTION	True Grit	Production Design: Jess Gonchor; Set Decoration: Nancy Haigh	Jess Gonchor|Nancy Haigh			
83	2010	Production	CINEMATOGRAPHY	Black Swan	Matthew Libatique	Matthew Libatique			
83	2010	Production	CINEMATOGRAPHY	Inception	Wally Pfister	Wally Pfister	True		
83	2010	Production	CINEMATOGRAPHY	The King's Speech	Danny Cohen	Danny Cohen			
83	2010	Production	CINEMATOGRAPHY	The Social Network	Jeff Cronenweth	Jeff Cronenweth			
83	2010	Production	CINEMATOGRAPHY	True Grit	Roger Deakins	Roger Deakins			
83	2010	Production	COSTUME DESIGN	Alice in Wonderland	Colleen Atwood	Colleen Atwood	True		
83	2010	Production	COSTUME DESIGN	I Am Love	Antonella Cannarozzi	Antonella Cannarozzi			
83	2010	Production	COSTUME DESIGN	The King's Speech	Jenny Beavan	Jenny Beavan			
83	2010	Production	COSTUME DESIGN	The Tempest	Sandy Powell	Sandy Powell			
83	2010	Production	COSTUME DESIGN	True Grit	Mary Zophres	Mary Zophres			
83	2010	Directing	DIRECTING	Black Swan	Darren Aronofsky	Darren Aronofsky			
83	2010	Directing	DIRECTING	The Fighter	David O. Russell	David O. Russell			
83	2010	Directing	DIRECTING	The King's Speech	Tom Hooper	Tom Hooper	True		
83	2010	Directing	DIRECTING	The Social Network	David Fincher	David Fincher			
83	2010	Directing	DIRECTING	True Grit	Joel Coen and Ethan Coen	Joel Coen|Ethan Coen			
83	2010	Title	DOCUMENTARY (Feature)	Exit through the Gift Shop	Banksy and Jaimie D'Cruz	Banksy|Jaimie D'Cruz			
83	2010	Title	DOCUMENTARY (Feature)	Gasland	Josh Fox and Trish Adlesic	Josh Fox|Trish Adlesic			
83	2010	Title	DOCUMENTARY (Feature)	Inside Job	Charles Ferguson and Audrey Marrs	Charles Ferguson|Audrey Marrs	True		
83	2010	Title	DOCUMENTARY (Feature)	Restrepo	Tim Hetherington and Sebastian Junger	Tim Hetherington|Sebastian Junger			
83	2010	Title	DOCUMENTARY (Feature)	Waste Land	Lucy Walker and Angus Aynsley	Lucy Walker|Angus Aynsley			
83	2010	Title	DOCUMENTARY (Short Subject)	Killing in the Name	Jed Rothstein	Jed Rothstein			
83	2010	Title	DOCUMENTARY (Short Subject)	Poster Girl	Sara Nesson and Mitchell W. Block	Sara Nesson|Mitchell W. Block			
83	2010	Title	DOCUMENTARY (Short Subject)	Strangers No More	Karen Goodman and Kirk Simon	Karen Goodman|Kirk Simon	True		
83	2010	Title	DOCUMENTARY (Short Subject)	Sun Come Up	Jennifer Redfearn and Tim Metzger	Jennifer Redfearn|Tim Metzger			
83	2010	Title	DOCUMENTARY (Short Subject)	The Warriors of Qiugang	Ruby Yang and Thomas Lennon	Ruby Yang|Thomas Lennon			
83	2010	Production	FILM EDITING	Black Swan	Andrew Weisblum	Andrew Weisblum			
83	2010	Production	FILM EDITING	The Fighter	Pamela Martin	Pamela Martin			
83	2010	Production	FILM EDITING	The King's Speech	Tariq Anwar	Tariq Anwar			
83	2010	Production	FILM EDITING	127 Hours	Jon Harris	Jon Harris			
